Company,Ram,Touchscreen,Gpu_brand,Cpu_brand,P,os,M,G,MD,W,AI,S,O
HP,8,0,Intel,Intel Core i7,1.922,Windows,1,0,0,0,1,1,1
Acer,8,0,AMD,AMD Processor,1.404,Windows,0,0,0,0,0,0,0
Lenovo,4,0,Intel,Intel Dual Core,0.622,Windows,1,0,0,0,0,1,1
Acer,6,0,Intel,Intel Core i5,1.17,Windows,1,0,0,0,0,1,1
Asus,8,0,Nvidia,Intel Core i7,2.238,Windows,1,0,0,0,1,0,0
HP,8,0,Intel,Intel Core i7,2.845,Windows,1,0,0,0,1,1,1
Dell,32,1,Nvidia,Intel Core i7,5.624,Windows,1,1,1,1,1,0,0
MSI,8,0,Nvidia,Intel Core i7,2.555,Windows,1,0,0,0,1,0,0
Toshiba,8,0,Intel,Intel Core i5,2.01,Windows,1,0,0,0,0,1,1
Asus,8,0,Intel,Intel Core i7,2.843,Windows,1,0,0,0,1,1,1
Lenovo,4,0,Intel,Intel Core i3,0.957,Windows,1,0,0,0,0,1,1
Asus,8,0,Nvidia,Intel Core i7,2.129,Windows,1,0,0,0,1,0,0
HP,8,0,Intel,Intel Core i5,2.702,Windows,1,0,0,0,0,1,1
Dell,8,0,Nvidia,Intel Core i5,2.236,Windows,0,0,0,0,0,0,0
HP,8,0,Intel,Intel Core i5,2.438,Windows,1,0,0,0,0,1,1
Asus,4,0,Intel,Intel Dual Core,0.586,Linux,1,0,0,0,0,1,1
Dell,8,0,Nvidia,Intel Core i5,2.435,Windows,0,0,0,0,0,0,0
Dell,4,0,Intel,Intel Dual Core,0.586,Linux,1,0,0,0,0,1,1
Lenovo,12,0,AMD,AMD Processor,1.916,Windows,0,0,0,0,0,0,0
HP,8,0,Nvidia,Intel Core i3,1.526,Windows,1,0,0,0,0,1,1
Lenovo,16,1,Intel,Intel Core i7,4.473,Windows,1,0,0,1,1,1,1
Dell,8,0,Intel,Intel Core i7,3.365,Windows,1,0,0,0,1,1,1
Lenovo,16,0,Nvidia,Intel Core i7,2.406,Windows,1,1,1,1,1,0,0
HP,2,0,Intel,Intel Dual Core,0.595,Windows,1,0,0,0,0,1,1
Dell,16,0,Intel,Intel Core i7,3.427,Windows,1,0,0,1,1,1,1
Asus,4,1,Intel,Intel Dual Core,0.799,Windows,1,0,0,0,0,1,1
Dell,8,0,AMD,Intel Core i5,1.413,Windows,0,0,0,0,0,0,0
Dell,16,1,Nvidia,Intel Core i7,4.321,Windows,1,1,1,1,1,0,0
HP,8,0,Intel,Intel Core i7,2.779,Windows,1,0,0,0,1,1,1
MSI,8,0,Nvidia,Intel Core i7,3.003,Windows,1,0,0,0,1,0,0
HP,8,0,Nvidia,Intel Core i7,3.705,Windows,1,0,0,0,1,0,0
Toshiba,16,0,Nvidia,Intel Core i7,2.99,Windows,1,1,1,1,1,0,0
Dell,8,0,AMD,Intel Core i7,2.069,Windows,1,0,0,0,1,0,0
Lenovo,4,0,Intel,Intel Dual Core,0.686,Linux,1,0,0,0,0,1,1
Dell,8,0,Nvidia,Intel Core i5,2.129,Windows,0,0,0,0,0,0,0
Dell,8,1,Intel,Intel Core i5,1.188,Windows,1,0,0,0,0,1,1
Dell,8,0,Intel,Intel Core i5,3.041,Windows,1,0,0,0,0,1,1
HP,4,0,Intel,Intel Core i3,0.936,Windows,1,0,0,0,0,1,1
Asus,8,0,Intel,Intel Core i5,2.014,Windows,1,0,0,0,0,1,1
Lenovo,6,0,Nvidia,Intel Core i5,1.532,Windows,0,0,0,0,0,0,0
HP,8,0,Intel,Intel Core i5,1.362,Windows,1,0,0,0,0,1,1
Lenovo,8,0,Nvidia,Intel Core i3,1.063,Linux,1,0,0,0,0,1,1
HP,8,0,Intel,Intel Dual Core,0.829,Windows,1,0,0,0,0,1,1
Dell,8,0,AMD,Intel Core i5,2.312,Windows,0,0,0,0,0,0,0
Lenovo,8,0,Nvidia,Intel Core i5,1.724,Linux,0,0,0,0,0,0,0
Dell,8,0,AMD,Intel Core i7,1.916,Windows,1,0,0,0,1,0,0
HP,8,0,Intel,Intel Core i7,3.73,Windows,1,0,0,0,1,1,1
Asus,12,1,Nvidia,Intel Core i7,2.342,Windows,1,0,0,0,1,0,0
Acer,4,0,AMD,AMD Processor,0.908,Windows,0,0,0,0,0,0,0
Asus,16,0,AMD,AMD Processor,4.687,Windows,0,0,1,1,0,0,0
Lenovo,4,0,AMD,AMD Processor,1.042,Windows,0,0,0,0,0,0,0
Dell,8,1,Intel,Intel Core i7,1.852,Windows,1,0,0,0,1,1,1
HP,4,0,AMD,AMD Processor,1.042,Windows,0,0,0,0,0,0,0
Lenovo,4,0,Intel,Intel Dual Core,1.179,Windows,1,0,0,0,0,1,1
Dell,4,0,Intel,Intel Dual Core,0.659,Windows,1,0,0,0,0,1,1
Asus,4,0,Intel,Intel Dual Core,0.61,Windows,1,0,0,0,0,1,1
Acer,8,0,Nvidia,Intel Core i7,1.803,Linux,1,0,0,0,1,0,0
HP,8,0,Nvidia,Intel Core i7,2.538,Windows,1,0,0,0,1,0,0
Lenovo,4,0,Intel,Intel Core i3,0.86,Linux,1,0,0,0,0,1,1
Asus,8,0,Nvidia,Intel Core i7,3.527,Windows,1,0,0,0,1,0,0
Lenovo,8,0,Nvidia,Intel Core i5,2.342,Windows,0,0,0,0,0,0,0
Asus,16,1,Intel,Intel Core i7,3.727,Windows,1,0,0,1,1,1,1
Lenovo,8,0,Intel,Intel Core i7,4.863,Windows,1,0,0,0,1,1,1
Lenovo,4,0,Intel,Intel Core i3,1.17,Windows,1,0,0,0,0,1,1
Dell,8,0,AMD,Intel Core i5,2.918,Windows,0,0,0,0,0,0,0
Dell,8,0,Nvidia,Intel Core i7,4.55,Windows,1,0,0,0,1,0,0
Lenovo,16,1,Intel,Intel Core i7,5.347,Windows,1,0,0,1,1,1,1
Asus,8,0,Nvidia,Intel Core i7,2.214,Windows,1,0,0,0,1,0,0
Asus,16,0,Nvidia,Intel Core i7,3.391,Windows,1,1,1,1,1,0,0
Acer,12,0,Nvidia,Intel Core i5,1.479,Windows,0,0,0,0,0,0,0
MSI,8,0,Nvidia,Intel Core i7,2.875,Windows,1,0,0,0,1,0,0
Dell,8,0,AMD,Intel Core i7,1.66,Linux,1,0,0,0,1,0,0
HP,4,0,AMD,AMD Processor,1.063,Windows,0,0,0,0,0,0,0
Lenovo,8,0,AMD,Intel Core i7,2.62,Windows,1,0,0,0,1,0,0
Lenovo,8,0,Intel,Intel Core i5,1.999,Windows,1,0,0,0,0,1,1
Dell,8,1,Nvidia,Intel Core i7,5.78,Windows,1,0,0,0,1,0,0
Lenovo,16,0,Intel,Intel Core i7,5.594,Windows,1,0,0,1,1,1,1
Lenovo,4,0,Intel,Intel Dual Core,0.652,Windows,1,0,0,0,0,1,1
Asus,16,0,Nvidia,Intel Core i7,3.259,Windows,1,1,1,1,1,0,0
Lenovo,8,0,AMD,Intel Core i5,2.439,Windows,0,0,0,0,0,0,0
Acer,8,0,Nvidia,Intel Core i7,1.873,Linux,1,0,0,0,1,0,0
MSI,16,0,Nvidia,Intel Core i7,4.793,Windows,1,1,1,1,1,0,0
Asus,8,0,Intel,Intel Core i7,3.992,Windows,1,0,0,0,1,1,1
Toshiba,16,0,Intel,Intel Core i7,3.723,Windows,1,0,0,1,1,1,1
Dell,8,0,Intel,Intel Core i7,3.58,Windows,1,0,0,0,1,1,1
Lenovo,4,0,Intel,Intel Core i3,0.872,Windows,1,0,0,0,0,1,1
Lenovo,2,0,Intel,Intel Dual Core,0.649,Windows,1,0,0,0,0,1,1
Lenovo,8,0,Nvidia,Intel Core i7,4.103,Windows,1,0,0,0,1,0,0
Lenovo,8,0,Nvidia,Intel Core i7,4.141,Windows,1,0,0,0,1,0,0
HP,4,0,AMD,Intel Core i3,1.0,Windows,1,0,0,0,0,1,1
Acer,8,1,Intel,Intel Core i7,1.682,Windows,1,0,0,0,1,1,1
Asus,8,1,Intel,Intel Core i5,1.978,Windows,1,0,0,0,0,1,1
Dell,4,0,AMD,Intel Core i5,1.276,Linux,0,0,0,0,0,0,0
Dell,4,0,Intel,Intel Core i3,1.468,Windows,1,0,0,0,0,1,1
HP,8,0,Intel,Intel Core i7,3.197,Windows,1,0,0,0,1,1,1
Dell,8,0,Intel,Intel Core i5,1.151,Windows,1,0,0,0,0,1,1
Lenovo,8,0,AMD,Intel Core i7,2.59,Windows,1,0,0,0,1,0,0
Lenovo,16,1,Nvidia,Intel Core i7,4.047,Windows,1,1,1,1,1,0,0
Chuwi,6,0,Intel,Intel Dual Core,0.957,Windows,1,0,0,0,0,1,1
HP,8,0,Intel,Intel Core i7,3.041,Windows,1,0,0,0,1,1,1
Asus,8,0,Nvidia,Intel Core i3,1.272,Linux,1,0,0,0,0,1,1
Dell,16,0,Nvidia,Intel Core i7,5.965,Windows,1,1,1,1,1,0,0
Dell,8,0,Nvidia,Intel Core i7,2.47,Windows,1,0,0,0,1,0,0
Dell,8,0,AMD,Intel Core i7,2.435,Windows,1,0,0,0,1,0,0
Dell,8,0,Intel,Intel Core i7,2.342,Linux,1,0,0,0,1,1,1
HP,12,0,Nvidia,Intel Core i7,4.26,Windows,1,0,0,0,1,0,0
Mediacom,4,1,Intel,Intel Dual Core,0.637,Windows,1,0,0,0,0,1,1
Samsung,4,0,Intel,Intel Dual Core,0.573,Linux,1,0,0,0,0,1,1
Lenovo,8,0,Intel,Intel Core i7,2.153,Windows,1,0,0,0,1,1,1
Lenovo,4,0,Intel,Intel Core i3,1.277,Windows,1,0,0,0,0,1,1
Lenovo,16,0,Nvidia,Intel Core i7,5.211,Windows,1,1,1,1,1,0,0
Lenovo,16,0,Nvidia,Intel Core i7,5.219,Windows,1,1,1,1,1,0,0
Asus,8,0,AMD,AMD Processor,3.612,Windows,0,0,0,0,0,0,0
HP,4,0,Intel,Intel Dual Core,0.74,Windows,1,0,0,0,0,1,1
Google,16,1,Intel,Intel Core i7,4.687,Linux,1,0,0,1,1,1,1
Asus,4,0,Intel,Intel Core i5,1.191,Linux,1,0,0,0,0,1,1
Lenovo,8,0,AMD,AMD Processor,1.106,Windows,0,0,0,0,0,0,0
Dell,4,0,AMD,Intel Core i5,1.596,Windows,0,0,0,0,0,0,0
Lenovo,8,0,Intel,Intel Core i5,3.045,Windows,1,0,0,0,0,1,1
Lenovo,4,0,Intel,Intel Dual Core,0.744,Windows,1,0,0,0,0,1,1
HP,8,0,Nvidia,Intel Core i7,2.342,Windows,1,0,0,0,1,0,0
Dell,8,0,Nvidia,Intel Core i5,2.513,Windows,0,0,0,0,0,0,0
Acer,4,0,Intel,Intel Core i5,0.942,Linux,1,0,0,0,0,1,1
Dell,8,0,Nvidia,Intel Dual Core,4.247,Windows,0,0,0,0,0,0,0
MSI,8,0,Nvidia,Intel Core i5,2.19,Windows,0,0,0,0,0,0,0
Microsoft,16,1,Intel,Intel Core i7,5.518,Windows,1,0,0,1,1,1,1
HP,8,0,Intel,Intel Core i5,1.255,Windows,1,0,0,0,0,1,1
Dell,16,0,Nvidia,Intel Core i7,4.209,Windows,1,1,1,1,1,0,0
HP,8,0,Intel,Intel Core i7,3.269,Windows,1,0,0,0,1,1,1
Lenovo,8,0,Intel,Intel Core i5,2.866,Windows,1,0,0,0,0,1,1
Dell,8,0,AMD,Intel Core i7,2.086,Windows,1,0,0,0,1,0,0
Dell,4,1,Intel,Intel Dual Core,1.021,Windows,1,0,0,0,0,1,1
Dell,8,0,Nvidia,Intel Core i7,4.36,Windows,1,0,0,0,1,0,0
Microsoft,4,1,Intel,Intel Dual Core,2.108,Windows,1,0,0,0,0,1,1
Microsoft,8,1,Intel,Intel Core i7,3.834,Windows,1,0,0,0,1,1,1
HP,8,0,Intel,Intel Core i3,1.364,Windows,1,0,0,0,0,1,1
Acer,4,0,Nvidia,Intel Core i3,1.159,Windows,1,0,0,0,0,1,1
Acer,4,0,Intel,Intel Dual Core,0.927,Windows,1,0,0,0,0,1,1
Asus,8,0,Intel,Intel Core i5,1.596,Windows,1,0,0,0,0,1,1
Lenovo,8,0,AMD,Intel Core i7,1.703,Linux,1,0,0,0,1,0,0
Lenovo,8,0,Nvidia,Intel Core i7,4.454,Windows,1,0,0,0,1,0,0
Asus,4,0,Intel,Intel Dual Core,0.648,Windows,1,0,0,0,0,1,1
Acer,4,0,Nvidia,Intel Core i3,1.0,Windows,1,0,0,0,0,1,1
Dell,8,0,AMD,Intel Core i5,1.618,Windows,0,0,0,0,0,0,0
HP,12,0,Nvidia,Intel Core i7,3.621,Windows,1,0,0,0,1,0,0
Lenovo,12,0,Intel,Intel Core i7,3.96,Windows,1,0,0,0,1,1,1
HP,8,1,Intel,Intel Core i7,4.26,Windows,1,0,0,0,1,1,1
HP,8,0,AMD,Intel Core i5,2.459,Windows,0,0,0,0,0,0,0
Google,8,1,Intel,Intel Core i5,2.717,Linux,1,0,0,0,0,1,1
Dell,8,1,Intel,Intel Core i5,3.925,Windows,1,0,0,0,0,1,1
Asus,12,0,Intel,Intel Core i7,2.768,Windows,1,0,0,0,1,1,1
Dell,8,0,Intel,Intel Core i3,1.577,Windows,1,0,0,0,0,1,1
Dell,8,0,Nvidia,Intel Core i7,5.132,Windows,1,0,0,0,1,0,0
Lenovo,8,0,Intel,Intel Core i5,2.907,Windows,1,0,0,0,0,1,1
Dell,8,0,AMD,Intel Core i5,1.439,Windows,0,0,0,0,0,0,0
Toshiba,8,0,Intel,Intel Core i5,3.563,Windows,1,0,0,0,0,1,1
Dell,8,0,Nvidia,Intel Core i7,2.69,Windows,1,0,0,0,1,0,0
Dell,4,0,Intel,Intel Core i3,1.25,Windows,1,0,0,0,0,1,1
HP,4,0,Intel,Intel Core i5,1.547,Windows,1,0,0,0,0,1,1
Chuwi,4,0,Intel,Intel Dual Core,0.53,Windows,1,0,0,0,0,1,1
Lenovo,4,0,Intel,Intel Core i3,1.204,Windows,1,0,0,0,0,1,1
Lenovo,8,0,Intel,Intel Core i5,2.236,Windows,1,0,0,0,0,1,1
Dell,16,0,Nvidia,Intel Core i7,4.983,Windows,1,1,1,1,1,0,0
Dell,16,0,Nvidia,Intel Core i7,4.047,Windows,1,1,1,1,1,0,0
Lenovo,16,0,Intel,Intel Core i7,3.832,Windows,1,0,0,1,1,1,1
Asus,16,0,Intel,Intel Core i7,4.156,Windows,1,0,0,1,1,1,1
Lenovo,8,0,Nvidia,Intel Core i5,2.157,Windows,0,0,0,0,0,0,0
Toshiba,32,1,Intel,Intel Core i7,5.965,Windows,1,0,0,1,1,1,1
Asus,8,0,Nvidia,Intel Core i7,2.877,Windows,1,0,0,0,1,0,0
Acer,8,0,AMD,AMD Processor,1.234,Windows,0,0,0,0,0,0,0
Lenovo,8,0,Intel,Intel Core i5,2.342,Windows,1,0,0,0,0,1,1
Lenovo,8,0,Intel,Intel Core i7,1.916,Windows,1,0,0,0,1,1,1
HP,8,0,Intel,Intel Core i7,3.727,Windows,1,0,0,0,1,1,1
Lenovo,8,0,Intel,Intel Core i3,2.023,Windows,1,0,0,0,0,1,1
Lenovo,8,0,Intel,Intel Core i5,1.942,Windows,1,0,0,0,0,1,1
Asus,4,0,Intel,Intel Dual Core,0.725,Windows,1,0,0,0,0,1,1
HP,8,0,AMD,Intel Core i5,1.319,Windows,0,0,0,0,0,0,0
Lenovo,8,1,Intel,Intel Core i5,3.408,Windows,1,0,0,0,0,1,1
Lenovo,4,0,Intel,Intel Dual Core,0.637,Windows,1,0,0,0,0,1,1
Lenovo,4,0,Intel,Intel Dual Core,0.565,Linux,1,0,0,0,0,1,1
Lenovo,8,0,Intel,Intel Core i5,2.023,Windows,1,0,0,0,0,1,1
Asus,8,0,Intel,Intel Core i7,2.609,Windows,1,0,0,0,1,1,1
Acer,4,0,Nvidia,Intel Core i5,1.306,Windows,0,0,0,0,0,0,0
HP,8,0,Intel,Intel Core i7,2.82,Windows,1,0,0,0,1,1,1
Lenovo,8,0,Nvidia,Intel Core i7,2.449,Linux,1,0,0,0,1,0,0
Dell,8,1,Intel,Intel Core i5,1.916,Windows,1,0,0,0,0,1,1
Acer,4,0,Nvidia,Intel Core i7,1.362,Windows,1,0,0,0,1,0,0
Dell,8,0,Intel,Intel Core i5,1.782,Windows,1,0,0,0,0,1,1
Dell,16,0,AMD,Intel Core i7,2.598,Windows,1,1,1,1,1,0,0
Xiaomi,16,0,Nvidia,Intel Core i7,2.984,Linux,1,1,1,1,1,0,0
Asus,2,0,Intel,Intel Dual Core,0.522,Windows,1,0,0,0,0,1,1
HP,4,1,Intel,Intel Core i5,1.111,Windows,1,0,0,0,0,1,1
HP,8,0,Nvidia,Intel Core i5,1.895,Windows,0,0,0,0,0,0,0
Asus,16,0,Nvidia,Intel Core i7,3.205,Windows,1,1,1,1,1,0,0
Lenovo,8,0,Nvidia,Intel Core i7,2.982,Windows,1,0,0,0,1,0,0
HP,8,0,Intel,Intel Core i7,2.982,Windows,1,0,0,0,1,1,1
Dell,8,0,Intel,Intel Core i5,2.727,Windows,1,0,0,0,0,1,1
HP,4,0,Intel,Intel Core i3,1.468,Windows,1,0,0,0,0,1,1
Dell,8,0,AMD,Intel Core i5,1.895,Linux,0,0,0,0,0,0,0
Lenovo,8,0,Intel,Intel Core i5,2.856,Windows,1,0,0,0,0,1,1
Lenovo,4,0,Nvidia,Intel Core i7,1.703,Windows,1,0,0,0,1,0,0
Lenovo,8,0,Nvidia,Intel Core i3,0.978,Linux,1,0,0,0,0,1,1
Dell,4,0,AMD,Intel Core i5,1.247,Windows,0,0,0,0,0,0,0
Dell,8,0,Intel,Intel Core i5,2.935,Windows,1,0,0,0,0,1,1
Dell,16,0,Nvidia,Intel Core i7,6.421,Windows,1,1,1,1,1,0,0
Toshiba,8,0,Intel,Intel Core i5,1.833,Windows,1,0,0,0,0,1,1
Asus,8,0,Nvidia,Intel Core i7,2.768,Windows,1,0,0,0,1,0,0
Mediacom,4,0,Intel,Intel Dual Core,0.786,Windows,1,0,0,0,0,1,1
Asus,8,0,Nvidia,Intel Core i5,3.514,Windows,0,0,0,0,0,0,0
Dell,8,0,Nvidia,Intel Core i7,2.918,Windows,1,0,0,0,1,0,0
Dell,8,0,AMD,Intel Core i5,1.699,Windows,0,0,0,0,0,0,0
HP,4,0,Intel,Intel Dual Core,0.85,Windows,1,0,0,0,0,1,1
HP,12,0,Nvidia,Intel Core i7,3.834,Windows,1,0,0,0,1,0,0
Lenovo,8,0,Nvidia,Intel Core i7,1.831,Windows,1,0,0,0,1,0,0
Dell,8,1,Intel,Intel Core i7,2.982,Windows,1,0,0,0,1,1,1
Dell,4,0,Intel,Intel Core i3,1.568,Windows,1,0,0,0,0,1,1
HP,8,0,Intel,Intel Core i7,2.44,Windows,1,0,0,0,1,1,1
Acer,8,0,Nvidia,Intel Core i5,1.701,Linux,0,0,0,0,0,0,0
Asus,4,0,AMD,AMD Processor,0.744,Windows,0,0,0,0,0,0,0
HP,4,0,Intel,Intel Core i3,1.504,Windows,1,0,0,0,0,1,1
Lenovo,4,0,Intel,Intel Core i5,1.673,Windows,1,0,0,0,0,1,1
Lenovo,4,0,Intel,Intel Core i5,0.985,Linux,1,0,0,0,0,1,1
HP,4,0,Intel,Intel Core i3,0.846,Windows,1,0,0,0,0,1,1
Lenovo,8,0,Intel,Intel Core i7,3.685,Windows,1,0,0,0,1,1,1
Lenovo,4,0,Intel,Intel Core i3,1.063,Windows,1,0,0,0,0,1,1
Dell,8,0,Intel,Intel Core i5,2.381,Windows,1,0,0,0,0,1,1
Dell,16,0,Nvidia,Intel Core i7,5.752,Windows,1,1,1,1,1,0,0
HP,8,0,Intel,Intel Core i3,1.16,Windows,1,0,0,0,0,1,1
HP,8,0,Nvidia,Intel Core i7,2.728,Windows,1,0,0,0,1,0,0
Asus,4,0,Intel,Intel Dual Core,0.477,Linux,1,0,0,0,0,1,1
Mediacom,4,0,Intel,Intel Dual Core,0.543,Windows,1,0,0,0,0,1,1
Lenovo,6,0,Nvidia,Intel Core i7,2.023,Windows,1,0,0,0,1,0,0
HP,6,0,AMD,AMD Processor,1.212,Windows,0,0,0,0,0,0,0
Dell,4,0,AMD,Intel Core i3,1.317,Windows,1,0,0,0,0,1,1
Acer,4,1,Intel,Intel Dual Core,0.744,Windows,1,0,0,0,0,1,1
Lenovo,4,0,Intel,Intel Core i3,1.343,Windows,1,0,0,0,0,1,1
HP,16,1,Intel,Intel Dual Core,4.188,Windows,1,0,0,1,0,1,1
Lenovo,8,0,Nvidia,Intel Core i7,6.391,Windows,1,0,0,0,1,0,0
Asus,8,0,Nvidia,Intel Core i5,1.788,Windows,0,0,0,0,0,0,0
Dell,8,1,Intel,Intel Core i5,3.408,Windows,1,0,0,0,0,1,1
Dell,4,0,Intel,Intel Core i5,2.044,Windows,1,0,0,0,0,1,1
Fujitsu,8,0,Intel,Intel Core i5,1.575,Windows,1,0,0,0,0,1,1
Lenovo,4,0,Intel,Intel Dual Core,0.733,Windows,1,0,0,0,0,1,1
Lenovo,4,0,Intel,Intel Core i5,2.11,Windows,1,0,0,0,0,1,1
HP,8,0,Nvidia,Intel Core i5,3.966,Windows,0,0,0,0,0,0,0
HP,8,0,Intel,Intel Dual Core,0.829,Windows,1,0,0,0,0,1,1
HP,6,0,AMD,AMD Processor,1.383,Windows,0,0,0,0,0,0,0
Lenovo,8,0,Intel,Intel Core i5,1.769,Windows,1,0,0,0,0,1,1
Lenovo,4,0,Intel,Intel Core i5,1.46,Windows,1,0,0,0,0,1,1
Mediacom,4,0,Intel,Intel Dual Core,0.531,Windows,1,0,0,0,0,1,1
Toshiba,16,1,Intel,Intel Core i7,3.975,Windows,1,0,0,1,1,1,1
Lenovo,32,0,Nvidia,Intel Core i7,5.675,Windows,1,1,1,1,1,0,0
MSI,16,0,Nvidia,Intel Core i7,5.816,Windows,1,1,1,1,1,0,0
Dell,8,0,AMD,Intel Core i7,1.596,Linux,1,0,0,0,1,0,0
Mediacom,4,0,Intel,Intel Dual Core,0.829,Windows,1,0,0,0,0,1,1
Dell,8,0,Intel,Intel Core i5,2.149,Windows,1,0,0,0,0,1,1
HP,4,0,Intel,Intel Core i3,1.532,Windows,1,0,0,0,0,1,1
Dell,16,0,Nvidia,Intel Core i7,3.276,Windows,1,1,1,1,1,0,0
Dell,4,0,Intel,Intel Dual Core,0.629,Linux,1,0,0,0,0,1,1
MSI,16,0,Nvidia,Intel Core i7,5.006,Windows,1,1,1,1,1,0,0
HP,16,0,Nvidia,Intel Core i7,3.193,Windows,1,1,1,1,1,0,0
Lenovo,12,0,Intel,Intel Core i7,3.565,Windows,1,0,0,0,1,1,1
Lenovo,12,1,Intel,Intel Core i7,1.298,Windows,1,0,0,0,1,1,1
Asus,8,0,Nvidia,Intel Core i5,3.772,Windows,0,0,0,0,0,0,0
Asus,8,1,Intel,Intel Core i5,1.575,Windows,1,0,0,0,0,1,1
Lenovo,12,0,AMD,AMD Processor,2.023,Windows,0,0,0,0,0,0,0
Dell,4,1,Intel,Intel Dual Core,1.285,Windows,1,0,0,0,0,1,1
Samsung,16,0,Nvidia,Intel Core i7,3.621,Windows,1,1,1,1,1,0,0
Lenovo,4,0,Intel,Intel Core i3,1.127,Linux,1,0,0,0,0,1,1
Lenovo,8,0,Intel,Intel Core i3,0.978,Windows,1,0,0,0,0,1,1
Lenovo,8,1,Intel,Intel Core i7,4.316,Windows,1,0,0,0,1,1,1
Lenovo,8,0,Intel,Intel Core i5,3.141,Windows,1,0,0,0,0,1,1
Dell,8,1,Intel,Intel Core i5,3.559,Windows,1,0,0,0,0,1,1
Dell,8,1,Nvidia,Intel Core i7,3.757,Windows,1,0,0,0,1,0,0
HP,8,0,Intel,Intel Core i7,2.598,Windows,1,0,0,0,1,1,1
HP,4,0,Intel,Intel Core i3,1.425,Windows,1,0,0,0,0,1,1
Acer,4,0,Intel,Intel Dual Core,0.701,Windows,1,0,0,0,0,1,1
MSI,16,0,Nvidia,Intel Core i7,4.687,Windows,1,1,1,1,1,0,0
Dell,4,0,AMD,Intel Core i3,0.991,Linux,1,0,0,0,0,1,1
MSI,16,0,Nvidia,Intel Core i7,4.9,Windows,1,1,1,1,1,0,0
Toshiba,8,0,Intel,Intel Core i7,2.982,Windows,1,0,0,0,1,1,1
Lenovo,6,0,Intel,Intel Core i5,1.202,Windows,1,0,0,0,0,1,1
Lenovo,8,1,Intel,Intel Core i7,2.768,Windows,1,0,0,0,1,1,1
Acer,4,0,Intel,Intel Dual Core,0.744,Windows,1,0,0,0,0,1,1
Lenovo,32,0,Nvidia,Intel Dual Core,10.441,Windows,1,0,1,1,1,0,0
Dell,16,0,Nvidia,Intel Core i7,1.873,Windows,1,1,1,1,1,0,0
Dell,4,0,Intel,Intel Core i3,0.946,Linux,1,0,0,0,0,1,1
Dell,4,0,Intel,Intel Core i3,0.765,Linux,1,0,0,0,0,1,1
Dell,4,0,Intel,Intel Core i5,1.852,Linux,1,0,0,0,0,1,1
Asus,8,0,Nvidia,Intel Core i7,2.489,Windows,1,0,0,0,1,0,0
Dell,4,0,AMD,Intel Core i5,1.213,Linux,0,0,0,0,0,0,0
HP,8,0,Intel,Intel Core i7,2.96,Windows,1,0,0,0,1,1,1
MSI,16,0,Nvidia,Intel Core i7,4.833,Windows,1,1,1,1,1,0,0
Acer,4,1,Intel,Intel Dual Core,0.808,Linux,1,0,0,0,0,1,1
HP,8,0,Intel,Intel Core i5,2.395,Windows,1,0,0,0,0,1,1
Lenovo,8,0,Intel,Intel Core i5,3.122,Windows,1,0,0,0,0,1,1
Dell,4,0,AMD,Intel Core i5,1.654,Windows,0,0,0,0,0,0,0
Fujitsu,8,0,Intel,Intel Core i5,1.703,Windows,1,0,0,0,0,1,1
HP,4,0,Intel,Intel Core i5,1.986,Windows,1,0,0,0,0,1,1
Lenovo,8,0,Nvidia,Intel Core i7,1.916,Windows,1,0,0,0,1,0,0
Mediacom,2,0,Intel,Intel Dual Core,0.509,Windows,1,0,0,0,0,1,1
Lenovo,4,0,Intel,Intel Core i5,0.997,Linux,1,0,0,0,0,1,1
Asus,6,1,Intel,Intel Core i5,1.362,Windows,1,0,0,0,0,1,1
Dell,8,0,Nvidia,Intel Core i7,3.879,Windows,1,0,0,0,1,0,0
Asus,16,0,Intel,Intel Core i7,4.049,Windows,1,0,0,1,1,1,1
Dell,16,0,Nvidia,Intel Core i7,3.152,Windows,1,1,1,1,1,0,0
Lenovo,4,0,Intel,Intel Core i5,1.767,Windows,1,0,0,0,0,1,1
Lenovo,4,0,Nvidia,Intel Core i3,1.234,Windows,1,0,0,0,0,1,1
Asus,8,0,Intel,Intel Dual Core,0.85,Windows,1,0,0,0,0,1,1
Asus,8,0,Nvidia,Intel Core i5,1.932,Windows,0,0,0,0,0,0,0
Dell,8,1,Intel,Intel Core i5,3.983,Windows,1,0,0,0,0,1,1
Lenovo,2,0,Intel,Intel Dual Core,0.531,Windows,1,0,0,0,0,1,1
Lenovo,8,1,Intel,Intel Core i7,3.745,Windows,1,0,0,0,1,1,1
Dell,16,1,Nvidia,Intel Core i7,5.113,Windows,1,1,1,1,1,0,0
Lenovo,8,0,Nvidia,Intel Core i7,2.364,Windows,1,0,0,0,1,0,0
HP,8,0,AMD,AMD Processor,1.11,Windows,0,0,0,0,0,0,0
Lenovo,16,0,Intel,Intel Core i7,5.221,Windows,1,0,0,1,1,1,1
Asus,8,0,Nvidia,Intel Core i7,2.491,Linux,1,0,0,0,1,0,0
Acer,4,0,Intel,Intel Core i3,0.959,Windows,1,0,0,0,0,1,1
Lenovo,4,0,Intel,Intel Dual Core,0.584,Windows,1,0,0,0,0,1,1
Acer,8,0,Intel,Intel Core i5,1.959,Windows,1,0,0,0,0,1,1
Razer,16,0,Nvidia,Intel Core i7,5.539,Windows,1,1,1,1,1,0,0
