M,G,MD,W,AI,S,O,P,os,Company,Touchscreen,Cpu_brand,Ram,Gpu_brand
1,0,0,0,1,1,1,1.922,Windows,HP,0,Intel Core i7,8,Intel
0,0,0,0,0,0,0,1.404,Windows,Acer,0,AMD Processor,8,AMD
1,0,0,0,0,1,1,0.622,Windows,Lenovo,0,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,1.17,Windows,Acer,0,Intel Core i5,6,Intel
1,0,0,0,1,0,0,2.238,Windows,Asus,0,Intel Core i7,8,Nvidia
1,0,0,0,1,1,1,2.845,Windows,HP,0,Intel Core i7,8,Intel
1,1,1,1,1,0,0,5.624,Windows,Dell,1,Intel Core i7,32,Nvidia
1,0,0,0,1,0,0,2.555,Windows,MSI,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,2.01,Windows,Toshiba,0,Intel Core i5,8,Intel
1,0,0,0,1,1,1,2.843,Windows,Asus,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,0.957,Windows,Lenovo,0,Intel Core i3,4,Intel
1,0,0,0,1,0,0,2.129,Windows,Asus,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,2.702,Windows,HP,0,Intel Core i5,8,Intel
0,0,0,0,0,0,0,2.236,Windows,Dell,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,2.438,Windows,HP,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,0.586,Linux,Asus,0,Intel Dual Core,4,Intel
0,0,0,0,0,0,0,2.435,Windows,Dell,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,0.586,Linux,Dell,0,Intel Dual Core,4,Intel
0,0,0,0,0,0,0,1.916,Windows,Lenovo,0,AMD Processor,12,AMD
1,0,0,0,0,1,1,1.526,Windows,HP,0,Intel Core i3,8,Nvidia
1,0,0,1,1,1,1,4.473,Windows,Lenovo,1,Intel Core i7,16,Intel
1,0,0,0,1,1,1,3.365,Windows,Dell,0,Intel Core i7,8,Intel
1,1,1,1,1,0,0,2.406,Windows,Lenovo,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,0.595,Windows,HP,0,Intel Dual Core,2,Intel
1,0,0,1,1,1,1,3.427,Windows,Dell,0,Intel Core i7,16,Intel
1,0,0,0,0,1,1,0.799,Windows,Asus,1,Intel Dual Core,4,Intel
0,0,0,0,0,0,0,1.413,Windows,Dell,0,Intel Core i5,8,AMD
1,1,1,1,1,0,0,4.321,Windows,Dell,1,Intel Core i7,16,Nvidia
1,0,0,0,1,1,1,2.779,Windows,HP,0,Intel Core i7,8,Intel
1,0,0,0,1,0,0,3.003,Windows,MSI,0,Intel Core i7,8,Nvidia
1,0,0,0,1,0,0,3.705,Windows,HP,0,Intel Core i7,8,Nvidia
1,1,1,1,1,0,0,2.99,Windows,Toshiba,0,Intel Core i7,16,Nvidia
1,0,0,0,1,0,0,2.069,Windows,Dell,0,Intel Core i7,8,AMD
1,0,0,0,0,1,1,0.686,Linux,Lenovo,0,Intel Dual Core,4,Intel
0,0,0,0,0,0,0,2.129,Windows,Dell,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,1.188,Windows,Dell,1,Intel Core i5,8,Intel
1,0,0,0,0,1,1,3.041,Windows,Dell,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,0.936,Windows,HP,0,Intel Core i3,4,Intel
1,0,0,0,0,1,1,2.014,Windows,Asus,0,Intel Core i5,8,Intel
0,0,0,0,0,0,0,1.532,Windows,Lenovo,0,Intel Core i5,6,Nvidia
1,0,0,0,0,1,1,1.362,Windows,HP,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,1.063,Linux,Lenovo,0,Intel Core i3,8,Nvidia
1,0,0,0,0,1,1,0.829,Windows,HP,0,Intel Dual Core,8,Intel
0,0,0,0,0,0,0,2.312,Windows,Dell,0,Intel Core i5,8,AMD
0,0,0,0,0,0,0,1.724,Linux,Lenovo,0,Intel Core i5,8,Nvidia
1,0,0,0,1,0,0,1.916,Windows,Dell,0,Intel Core i7,8,AMD
1,0,0,0,1,1,1,3.73,Windows,HP,0,Intel Core i7,8,Intel
1,0,0,0,1,0,0,2.342,Windows,Asus,1,Intel Core i7,12,Nvidia
0,0,0,0,0,0,0,0.908,Windows,Acer,0,AMD Processor,4,AMD
0,0,1,1,0,0,0,4.687,Windows,Asus,0,AMD Processor,16,AMD
0,0,0,0,0,0,0,1.042,Windows,Lenovo,0,AMD Processor,4,AMD
1,0,0,0,1,1,1,1.852,Windows,Dell,1,Intel Core i7,8,Intel
0,0,0,0,0,0,0,1.042,Windows,HP,0,AMD Processor,4,AMD
1,0,0,0,0,1,1,1.179,Windows,Lenovo,0,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,0.659,Windows,Dell,0,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,0.61,Windows,Asus,0,Intel Dual Core,4,Intel
1,0,0,0,1,0,0,1.803,Linux,Acer,0,Intel Core i7,8,Nvidia
1,0,0,0,1,0,0,2.538,Windows,HP,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,0.86,Linux,Lenovo,0,Intel Core i3,4,Intel
1,0,0,0,1,0,0,3.527,Windows,Asus,0,Intel Core i7,8,Nvidia
0,0,0,0,0,0,0,2.342,Windows,Lenovo,0,Intel Core i5,8,Nvidia
1,0,0,1,1,1,1,3.727,Windows,Asus,1,Intel Core i7,16,Intel
1,0,0,0,1,1,1,4.863,Windows,Lenovo,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,1.17,Windows,Lenovo,0,Intel Core i3,4,Intel
0,0,0,0,0,0,0,2.918,Windows,Dell,0,Intel Core i5,8,AMD
1,0,0,0,1,0,0,4.55,Windows,Dell,0,Intel Core i7,8,Nvidia
1,0,0,1,1,1,1,5.347,Windows,Lenovo,1,Intel Core i7,16,Intel
1,0,0,0,1,0,0,2.214,Windows,Asus,0,Intel Core i7,8,Nvidia
1,1,1,1,1,0,0,3.391,Windows,Asus,0,Intel Core i7,16,Nvidia
0,0,0,0,0,0,0,1.479,Windows,Acer,0,Intel Core i5,12,Nvidia
1,0,0,0,1,0,0,2.875,Windows,MSI,0,Intel Core i7,8,Nvidia
1,0,0,0,1,0,0,1.66,Linux,Dell,0,Intel Core i7,8,AMD
0,0,0,0,0,0,0,1.063,Windows,HP,0,AMD Processor,4,AMD
1,0,0,0,1,0,0,2.62,Windows,Lenovo,0,Intel Core i7,8,AMD
1,0,0,0,0,1,1,1.999,Windows,Lenovo,0,Intel Core i5,8,Intel
1,0,0,0,1,0,0,5.78,Windows,Dell,1,Intel Core i7,8,Nvidia
1,0,0,1,1,1,1,5.594,Windows,Lenovo,0,Intel Core i7,16,Intel
1,0,0,0,0,1,1,0.652,Windows,Lenovo,0,Intel Dual Core,4,Intel
1,1,1,1,1,0,0,3.259,Windows,Asus,0,Intel Core i7,16,Nvidia
0,0,0,0,0,0,0,2.439,Windows,Lenovo,0,Intel Core i5,8,AMD
1,0,0,0,1,0,0,1.873,Linux,Acer,0,Intel Core i7,8,Nvidia
1,1,1,1,1,0,0,4.793,Windows,MSI,0,Intel Core i7,16,Nvidia
1,0,0,0,1,1,1,3.992,Windows,Asus,0,Intel Core i7,8,Intel
1,0,0,1,1,1,1,3.723,Windows,Toshiba,0,Intel Core i7,16,Intel
1,0,0,0,1,1,1,3.58,Windows,Dell,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,0.872,Windows,Lenovo,0,Intel Core i3,4,Intel
1,0,0,0,0,1,1,0.649,Windows,Lenovo,0,Intel Dual Core,2,Intel
1,0,0,0,1,0,0,4.103,Windows,Lenovo,0,Intel Core i7,8,Nvidia
1,0,0,0,1,0,0,4.141,Windows,Lenovo,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,1.0,Windows,HP,0,Intel Core i3,4,AMD
1,0,0,0,1,1,1,1.682,Windows,Acer,1,Intel Core i7,8,Intel
1,0,0,0,0,1,1,1.978,Windows,Asus,1,Intel Core i5,8,Intel
0,0,0,0,0,0,0,1.276,Linux,Dell,0,Intel Core i5,4,AMD
1,0,0,0,0,1,1,1.468,Windows,Dell,0,Intel Core i3,4,Intel
1,0,0,0,1,1,1,3.197,Windows,HP,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,1.151,Windows,Dell,0,Intel Core i5,8,Intel
1,0,0,0,1,0,0,2.59,Windows,Lenovo,0,Intel Core i7,8,AMD
1,1,1,1,1,0,0,4.047,Windows,Lenovo,1,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,0.957,Windows,Chuwi,0,Intel Dual Core,6,Intel
1,0,0,0,1,1,1,3.041,Windows,HP,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,1.272,Linux,Asus,0,Intel Core i3,8,Nvidia
1,1,1,1,1,0,0,5.965,Windows,Dell,0,Intel Core i7,16,Nvidia
1,0,0,0,1,0,0,2.47,Windows,Dell,0,Intel Core i7,8,Nvidia
1,0,0,0,1,0,0,2.435,Windows,Dell,0,Intel Core i7,8,AMD
1,0,0,0,1,1,1,2.342,Linux,Dell,0,Intel Core i7,8,Intel
1,0,0,0,1,0,0,4.26,Windows,HP,0,Intel Core i7,12,Nvidia
1,0,0,0,0,1,1,0.637,Windows,Mediacom,1,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,0.573,Linux,Samsung,0,Intel Dual Core,4,Intel
1,0,0,0,1,1,1,2.153,Windows,Lenovo,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,1.277,Windows,Lenovo,0,Intel Core i3,4,Intel
1,1,1,1,1,0,0,5.211,Windows,Lenovo,0,Intel Core i7,16,Nvidia
1,1,1,1,1,0,0,5.219,Windows,Lenovo,0,Intel Core i7,16,Nvidia
0,0,0,0,0,0,0,3.612,Windows,Asus,0,AMD Processor,8,AMD
1,0,0,0,0,1,1,0.74,Windows,HP,0,Intel Dual Core,4,Intel
1,0,0,1,1,1,1,4.687,Linux,Google,1,Intel Core i7,16,Intel
1,0,0,0,0,1,1,1.191,Linux,Asus,0,Intel Core i5,4,Intel
0,0,0,0,0,0,0,1.106,Windows,Lenovo,0,AMD Processor,8,AMD
0,0,0,0,0,0,0,1.596,Windows,Dell,0,Intel Core i5,4,AMD
1,0,0,0,0,1,1,3.045,Windows,Lenovo,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,0.744,Windows,Lenovo,0,Intel Dual Core,4,Intel
1,0,0,0,1,0,0,2.342,Windows,HP,0,Intel Core i7,8,Nvidia
0,0,0,0,0,0,0,2.513,Windows,Dell,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,0.942,Linux,Acer,0,Intel Core i5,4,Intel
0,0,0,0,0,0,0,4.247,Windows,Dell,0,Intel Dual Core,8,Nvidia
0,0,0,0,0,0,0,2.19,Windows,MSI,0,Intel Core i5,8,Nvidia
1,0,0,1,1,1,1,5.518,Windows,Microsoft,1,Intel Core i7,16,Intel
1,0,0,0,0,1,1,1.255,Windows,HP,0,Intel Core i5,8,Intel
1,1,1,1,1,0,0,4.209,Windows,Dell,0,Intel Core i7,16,Nvidia
1,0,0,0,1,1,1,3.269,Windows,HP,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,2.866,Windows,Lenovo,0,Intel Core i5,8,Intel
1,0,0,0,1,0,0,2.086,Windows,Dell,0,Intel Core i7,8,AMD
1,0,0,0,0,1,1,1.021,Windows,Dell,1,Intel Dual Core,4,Intel
1,0,0,0,1,0,0,4.36,Windows,Dell,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,2.108,Windows,Microsoft,1,Intel Dual Core,4,Intel
1,0,0,0,1,1,1,3.834,Windows,Microsoft,1,Intel Core i7,8,Intel
1,0,0,0,0,1,1,1.364,Windows,HP,0,Intel Core i3,8,Intel
1,0,0,0,0,1,1,1.159,Windows,Acer,0,Intel Core i3,4,Nvidia
1,0,0,0,0,1,1,0.927,Windows,Acer,0,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,1.596,Windows,Asus,0,Intel Core i5,8,Intel
1,0,0,0,1,0,0,1.703,Linux,Lenovo,0,Intel Core i7,8,AMD
1,0,0,0,1,0,0,4.454,Windows,Lenovo,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,0.648,Windows,Asus,0,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,1.0,Windows,Acer,0,Intel Core i3,4,Nvidia
0,0,0,0,0,0,0,1.618,Windows,Dell,0,Intel Core i5,8,AMD
1,0,0,0,1,0,0,3.621,Windows,HP,0,Intel Core i7,12,Nvidia
1,0,0,0,1,1,1,3.96,Windows,Lenovo,0,Intel Core i7,12,Intel
1,0,0,0,1,1,1,4.26,Windows,HP,1,Intel Core i7,8,Intel
0,0,0,0,0,0,0,2.459,Windows,HP,0,Intel Core i5,8,AMD
1,0,0,0,0,1,1,2.717,Linux,Google,1,Intel Core i5,8,Intel
1,0,0,0,0,1,1,3.925,Windows,Dell,1,Intel Core i5,8,Intel
1,0,0,0,1,1,1,2.768,Windows,Asus,0,Intel Core i7,12,Intel
1,0,0,0,0,1,1,1.577,Windows,Dell,0,Intel Core i3,8,Intel
1,0,0,0,1,0,0,5.132,Windows,Dell,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,2.907,Windows,Lenovo,0,Intel Core i5,8,Intel
0,0,0,0,0,0,0,1.439,Windows,Dell,0,Intel Core i5,8,AMD
1,0,0,0,0,1,1,3.563,Windows,Toshiba,0,Intel Core i5,8,Intel
1,0,0,0,1,0,0,2.69,Windows,Dell,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,1.25,Windows,Dell,0,Intel Core i3,4,Intel
1,0,0,0,0,1,1,1.547,Windows,HP,0,Intel Core i5,4,Intel
1,0,0,0,0,1,1,0.53,Windows,Chuwi,0,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,1.204,Windows,Lenovo,0,Intel Core i3,4,Intel
1,0,0,0,0,1,1,2.236,Windows,Lenovo,0,Intel Core i5,8,Intel
1,1,1,1,1,0,0,4.983,Windows,Dell,0,Intel Core i7,16,Nvidia
1,1,1,1,1,0,0,4.047,Windows,Dell,0,Intel Core i7,16,Nvidia
1,0,0,1,1,1,1,3.832,Windows,Lenovo,0,Intel Core i7,16,Intel
1,0,0,1,1,1,1,4.156,Windows,Asus,0,Intel Core i7,16,Intel
0,0,0,0,0,0,0,2.157,Windows,Lenovo,0,Intel Core i5,8,Nvidia
1,0,0,1,1,1,1,5.965,Windows,Toshiba,1,Intel Core i7,32,Intel
1,0,0,0,1,0,0,2.877,Windows,Asus,0,Intel Core i7,8,Nvidia
0,0,0,0,0,0,0,1.234,Windows,Acer,0,AMD Processor,8,AMD
1,0,0,0,0,1,1,2.342,Windows,Lenovo,0,Intel Core i5,8,Intel
1,0,0,0,1,1,1,1.916,Windows,Lenovo,0,Intel Core i7,8,Intel
1,0,0,0,1,1,1,3.727,Windows,HP,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,2.023,Windows,Lenovo,0,Intel Core i3,8,Intel
1,0,0,0,0,1,1,1.942,Windows,Lenovo,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,0.725,Windows,Asus,0,Intel Dual Core,4,Intel
0,0,0,0,0,0,0,1.319,Windows,HP,0,Intel Core i5,8,AMD
1,0,0,0,0,1,1,3.408,Windows,Lenovo,1,Intel Core i5,8,Intel
1,0,0,0,0,1,1,0.637,Windows,Lenovo,0,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,0.565,Linux,Lenovo,0,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,2.023,Windows,Lenovo,0,Intel Core i5,8,Intel
1,0,0,0,1,1,1,2.609,Windows,Asus,0,Intel Core i7,8,Intel
0,0,0,0,0,0,0,1.306,Windows,Acer,0,Intel Core i5,4,Nvidia
1,0,0,0,1,1,1,2.82,Windows,HP,0,Intel Core i7,8,Intel
1,0,0,0,1,0,0,2.449,Linux,Lenovo,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,1.916,Windows,Dell,1,Intel Core i5,8,Intel
1,0,0,0,1,0,0,1.362,Windows,Acer,0,Intel Core i7,4,Nvidia
1,0,0,0,0,1,1,1.782,Windows,Dell,0,Intel Core i5,8,Intel
1,1,1,1,1,0,0,2.598,Windows,Dell,0,Intel Core i7,16,AMD
1,1,1,1,1,0,0,2.984,Linux,Xiaomi,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,0.522,Windows,Asus,0,Intel Dual Core,2,Intel
1,0,0,0,0,1,1,1.111,Windows,HP,1,Intel Core i5,4,Intel
0,0,0,0,0,0,0,1.895,Windows,HP,0,Intel Core i5,8,Nvidia
1,1,1,1,1,0,0,3.205,Windows,Asus,0,Intel Core i7,16,Nvidia
1,0,0,0,1,0,0,2.982,Windows,Lenovo,0,Intel Core i7,8,Nvidia
1,0,0,0,1,1,1,2.982,Windows,HP,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,2.727,Windows,Dell,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,1.468,Windows,HP,0,Intel Core i3,4,Intel
0,0,0,0,0,0,0,1.895,Linux,Dell,0,Intel Core i5,8,AMD
1,0,0,0,0,1,1,2.856,Windows,Lenovo,0,Intel Core i5,8,Intel
1,0,0,0,1,0,0,1.703,Windows,Lenovo,0,Intel Core i7,4,Nvidia
1,0,0,0,0,1,1,0.978,Linux,Lenovo,0,Intel Core i3,8,Nvidia
0,0,0,0,0,0,0,1.247,Windows,Dell,0,Intel Core i5,4,AMD
1,0,0,0,0,1,1,2.935,Windows,Dell,0,Intel Core i5,8,Intel
1,1,1,1,1,0,0,6.421,Windows,Dell,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,1.833,Windows,Toshiba,0,Intel Core i5,8,Intel
1,0,0,0,1,0,0,2.768,Windows,Asus,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,0.786,Windows,Mediacom,0,Intel Dual Core,4,Intel
0,0,0,0,0,0,0,3.514,Windows,Asus,0,Intel Core i5,8,Nvidia
1,0,0,0,1,0,0,2.918,Windows,Dell,0,Intel Core i7,8,Nvidia
0,0,0,0,0,0,0,1.699,Windows,Dell,0,Intel Core i5,8,AMD
1,0,0,0,0,1,1,0.85,Windows,HP,0,Intel Dual Core,4,Intel
1,0,0,0,1,0,0,3.834,Windows,HP,0,Intel Core i7,12,Nvidia
1,0,0,0,1,0,0,1.831,Windows,Lenovo,0,Intel Core i7,8,Nvidia
1,0,0,0,1,1,1,2.982,Windows,Dell,1,Intel Core i7,8,Intel
1,0,0,0,0,1,1,1.568,Windows,Dell,0,Intel Core i3,4,Intel
1,0,0,0,1,1,1,2.44,Windows,HP,0,Intel Core i7,8,Intel
0,0,0,0,0,0,0,1.701,Linux,Acer,0,Intel Core i5,8,Nvidia
0,0,0,0,0,0,0,0.744,Windows,Asus,0,AMD Processor,4,AMD
1,0,0,0,0,1,1,1.504,Windows,HP,0,Intel Core i3,4,Intel
1,0,0,0,0,1,1,1.673,Windows,Lenovo,0,Intel Core i5,4,Intel
1,0,0,0,0,1,1,0.985,Linux,Lenovo,0,Intel Core i5,4,Intel
1,0,0,0,0,1,1,0.846,Windows,HP,0,Intel Core i3,4,Intel
1,0,0,0,1,1,1,3.685,Windows,Lenovo,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,1.063,Windows,Lenovo,0,Intel Core i3,4,Intel
1,0,0,0,0,1,1,2.381,Windows,Dell,0,Intel Core i5,8,Intel
1,1,1,1,1,0,0,5.752,Windows,Dell,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,1.16,Windows,HP,0,Intel Core i3,8,Intel
1,0,0,0,1,0,0,2.728,Windows,HP,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,0.477,Linux,Asus,0,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,0.543,Windows,Mediacom,0,Intel Dual Core,4,Intel
1,0,0,0,1,0,0,2.023,Windows,Lenovo,0,Intel Core i7,6,Nvidia
0,0,0,0,0,0,0,1.212,Windows,HP,0,AMD Processor,6,AMD
1,0,0,0,0,1,1,1.317,Windows,Dell,0,Intel Core i3,4,AMD
1,0,0,0,0,1,1,0.744,Windows,Acer,1,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,1.343,Windows,Lenovo,0,Intel Core i3,4,Intel
1,0,0,1,0,1,1,4.188,Windows,HP,1,Intel Dual Core,16,Intel
1,0,0,0,1,0,0,6.391,Windows,Lenovo,0,Intel Core i7,8,Nvidia
0,0,0,0,0,0,0,1.788,Windows,Asus,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,3.408,Windows,Dell,1,Intel Core i5,8,Intel
1,0,0,0,0,1,1,2.044,Windows,Dell,0,Intel Core i5,4,Intel
1,0,0,0,0,1,1,1.575,Windows,Fujitsu,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,0.733,Windows,Lenovo,0,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,2.11,Windows,Lenovo,0,Intel Core i5,4,Intel
0,0,0,0,0,0,0,3.966,Windows,HP,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,0.829,Windows,HP,0,Intel Dual Core,8,Intel
0,0,0,0,0,0,0,1.383,Windows,HP,0,AMD Processor,6,AMD
1,0,0,0,0,1,1,1.769,Windows,Lenovo,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,1.46,Windows,Lenovo,0,Intel Core i5,4,Intel
1,0,0,0,0,1,1,0.531,Windows,Mediacom,0,Intel Dual Core,4,Intel
1,0,0,1,1,1,1,3.975,Windows,Toshiba,1,Intel Core i7,16,Intel
1,1,1,1,1,0,0,5.675,Windows,Lenovo,0,Intel Core i7,32,Nvidia
1,1,1,1,1,0,0,5.816,Windows,MSI,0,Intel Core i7,16,Nvidia
1,0,0,0,1,0,0,1.596,Linux,Dell,0,Intel Core i7,8,AMD
1,0,0,0,0,1,1,0.829,Windows,Mediacom,0,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,2.149,Windows,Dell,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,1.532,Windows,HP,0,Intel Core i3,4,Intel
1,1,1,1,1,0,0,3.276,Windows,Dell,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,0.629,Linux,Dell,0,Intel Dual Core,4,Intel
1,1,1,1,1,0,0,5.006,Windows,MSI,0,Intel Core i7,16,Nvidia
1,1,1,1,1,0,0,3.193,Windows,HP,0,Intel Core i7,16,Nvidia
1,0,0,0,1,1,1,3.565,Windows,Lenovo,0,Intel Core i7,12,Intel
1,0,0,0,1,1,1,1.298,Windows,Lenovo,1,Intel Core i7,12,Intel
0,0,0,0,0,0,0,3.772,Windows,Asus,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,1.575,Windows,Asus,1,Intel Core i5,8,Intel
0,0,0,0,0,0,0,2.023,Windows,Lenovo,0,AMD Processor,12,AMD
1,0,0,0,0,1,1,1.285,Windows,Dell,1,Intel Dual Core,4,Intel
1,1,1,1,1,0,0,3.621,Windows,Samsung,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,1.127,Linux,Lenovo,0,Intel Core i3,4,Intel
1,0,0,0,0,1,1,0.978,Windows,Lenovo,0,Intel Core i3,8,Intel
1,0,0,0,1,1,1,4.316,Windows,Lenovo,1,Intel Core i7,8,Intel
1,0,0,0,0,1,1,3.141,Windows,Lenovo,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,3.559,Windows,Dell,1,Intel Core i5,8,Intel
1,0,0,0,1,0,0,3.757,Windows,Dell,1,Intel Core i7,8,Nvidia
1,0,0,0,1,1,1,2.598,Windows,HP,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,1.425,Windows,HP,0,Intel Core i3,4,Intel
1,0,0,0,0,1,1,0.701,Windows,Acer,0,Intel Dual Core,4,Intel
1,1,1,1,1,0,0,4.687,Windows,MSI,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,0.991,Linux,Dell,0,Intel Core i3,4,AMD
1,1,1,1,1,0,0,4.9,Windows,MSI,0,Intel Core i7,16,Nvidia
1,0,0,0,1,1,1,2.982,Windows,Toshiba,0,Intel Core i7,8,Intel
1,0,0,0,0,1,1,1.202,Windows,Lenovo,0,Intel Core i5,6,Intel
1,0,0,0,1,1,1,2.768,Windows,Lenovo,1,Intel Core i7,8,Intel
1,0,0,0,0,1,1,0.744,Windows,Acer,0,Intel Dual Core,4,Intel
1,0,1,1,1,0,0,10.441,Windows,Lenovo,0,Intel Dual Core,32,Nvidia
1,1,1,1,1,0,0,1.873,Windows,Dell,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,0.946,Linux,Dell,0,Intel Core i3,4,Intel
1,0,0,0,0,1,1,0.765,Linux,Dell,0,Intel Core i3,4,Intel
1,0,0,0,0,1,1,1.852,Linux,Dell,0,Intel Core i5,4,Intel
1,0,0,0,1,0,0,2.489,Windows,Asus,0,Intel Core i7,8,Nvidia
0,0,0,0,0,0,0,1.213,Linux,Dell,0,Intel Core i5,4,AMD
1,0,0,0,1,1,1,2.96,Windows,HP,0,Intel Core i7,8,Intel
1,1,1,1,1,0,0,4.833,Windows,MSI,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,0.808,Linux,Acer,1,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,2.395,Windows,HP,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,3.122,Windows,Lenovo,0,Intel Core i5,8,Intel
0,0,0,0,0,0,0,1.654,Windows,Dell,0,Intel Core i5,4,AMD
1,0,0,0,0,1,1,1.703,Windows,Fujitsu,0,Intel Core i5,8,Intel
1,0,0,0,0,1,1,1.986,Windows,HP,0,Intel Core i5,4,Intel
1,0,0,0,1,0,0,1.916,Windows,Lenovo,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,0.509,Windows,Mediacom,0,Intel Dual Core,2,Intel
1,0,0,0,0,1,1,0.997,Linux,Lenovo,0,Intel Core i5,4,Intel
1,0,0,0,0,1,1,1.362,Windows,Asus,1,Intel Core i5,6,Intel
1,0,0,0,1,0,0,3.879,Windows,Dell,0,Intel Core i7,8,Nvidia
1,0,0,1,1,1,1,4.049,Windows,Asus,0,Intel Core i7,16,Intel
1,1,1,1,1,0,0,3.152,Windows,Dell,0,Intel Core i7,16,Nvidia
1,0,0,0,0,1,1,1.767,Windows,Lenovo,0,Intel Core i5,4,Intel
1,0,0,0,0,1,1,1.234,Windows,Lenovo,0,Intel Core i3,4,Nvidia
1,0,0,0,0,1,1,0.85,Windows,Asus,0,Intel Dual Core,8,Intel
0,0,0,0,0,0,0,1.932,Windows,Asus,0,Intel Core i5,8,Nvidia
1,0,0,0,0,1,1,3.983,Windows,Dell,1,Intel Core i5,8,Intel
1,0,0,0,0,1,1,0.531,Windows,Lenovo,0,Intel Dual Core,2,Intel
1,0,0,0,1,1,1,3.745,Windows,Lenovo,1,Intel Core i7,8,Intel
1,1,1,1,1,0,0,5.113,Windows,Dell,1,Intel Core i7,16,Nvidia
1,0,0,0,1,0,0,2.364,Windows,Lenovo,0,Intel Core i7,8,Nvidia
0,0,0,0,0,0,0,1.11,Windows,HP,0,AMD Processor,8,AMD
1,0,0,1,1,1,1,5.221,Windows,Lenovo,0,Intel Core i7,16,Intel
1,0,0,0,1,0,0,2.491,Linux,Asus,0,Intel Core i7,8,Nvidia
1,0,0,0,0,1,1,0.959,Windows,Acer,0,Intel Core i3,4,Intel
1,0,0,0,0,1,1,0.584,Windows,Lenovo,0,Intel Dual Core,4,Intel
1,0,0,0,0,1,1,1.959,Windows,Acer,0,Intel Core i5,8,Intel
1,1,1,1,1,0,0,5.539,Windows,Razer,0,Intel Core i7,16,Nvidia
